layer_id	Title	Thesaurus	Placekey
AFRICOVER_KE_OTHERTOWNS	Kenya Towns	GNS	Kenya
AFRICOVER_KE_POLBND	Kenya National Boundaries	GNS	Kenya
AFRICOVER_KE_RIVERS	Kenya Rivers	GNS	Kenya
AFRICOVER_KE_ROADS	Kenya Roads	GNS	Kenya
AFRICOVER_KE_SPAT_AGG	Kenya Spatially Aggregated Multipurpose Landcover Database	GNS	Kenya
AFRICOVER_KE_WOODY_AGG	Kenya Thematic Woody Aggregation Landcover	GNS	Kenya
AFRICOVER_RW_ADM	Rwanda Administrative Boundaries	GNS	Rwanda
AFRICOVER_RW_CULT_AGG	Rwanda Thematic Agriculture Aggregation Landcover	GNS	Rwanda
AFRICOVER_RW_GRASS_AGG	Rwanda Thematic Grassland Aggregation Landcover	GNS	Rwanda
AFRICOVER_RW_LNDCOV	Rwanda Landcover	GNS	Rwanda
AFRICOVER_RW_LNDFRM	Rwanda Geomorphology : Landform and Lithology	GNS	Rwanda
AFRICOVER_RW_MJTWNS	Rwanda Major Towns	GNS	Rwanda
AFRICOVER_RW_OTHERTOWNS	Rwanda Towns	GNS	Rwanda
AFRICOVER_RW_POLBND	Rwanda National Boundaries	GNS	Rwanda
AFRICOVER_RW_RIVERS	Rwanda Rivers	GNS	Rwanda
AFRICOVER_RW_ROADS	Rwanda Roads	GNS	Rwanda
AFRICOVER_RW_SPAT_AGG	Rwanda Spatially Aggregated Multipurpose Landcover Database	GNS	Rwanda
AFRICOVER_RW_WOODY_AGG	Rwanda Thematic Woody Aggregation Landcover	GNS	Rwanda
AFRICOVER_SD_ADM	Sudan Administrative Boundaries	GNS	Sudan
AFRICOVER_SD_CULT_AGG	Sudan Thematic Agriculture Aggregation Landcover	GNS	Sudan
AFRICOVER_SD_GRASS_AGG	Sudan Thematic Grassland Aggregation Landcover	GNS	Sudan
AFRICOVER_SD_LNDCOV_GE	Sudan Landcover	GNS	Sudan
AFRICOVER_SD_MJTOWNS	Sudan Major Towns	GNS	Sudan
AFRICOVER_SD_OTHERTOWNS	Sudan Towns	GNS	Sudan
AFRICOVER_SD_POLBND	Sudan National Boundaries	GNS	Sudan
AFRICOVER_SD_RIVERS	Sudan Rivers	GNS	Sudan
AFRICOVER_SD_ROADS	Sudan Roads	GNS	Sudan
AFRICOVER_SD_SPAT_AGG	Sudan Spatially Aggregated Multipurpose Landcover Database	GNS	Sudan
AFRICOVER_SD_WOODY_AGG	Sudan Thematic Woody Aggregation Landcover	GNS	Sudan
AFRICOVER_SM_ADM	Somalia Administrative Boundaries	GNS	Somalia
AFRICOVER_SM_CULT_AGG	Somalia Thematic Agriculture Aggregation Landcover	GNS	Somalia
AFRICOVER_SM_GRASS_AGG	Somalia Thematic Grassland Aggregation Landcover	GNS	Somalia
AFRICOVER_SM_LNDCOV_GE	Somalia Landcover	GNS	Somalia
AFRICOVER_SM_LNDFRM	Somalia Geomorphology : Landform and Lithology	GNS	Somalia
AFRICOVER_SM_MJTOWNS	Somalia Major Towns	GNS	Somalia
AFRICOVER_SM_OTHERTOWNS	Somalia Towns	GNS	Somalia
AFRICOVER_SM_POLBND	Somalia National Boundaries	GNS	Somalia
AFRICOVER_SM_RIVERS	Somalia Rivers	GNS	Somalia
AFRICOVER_SM_ROADS	Somalia Roads	GNS	Somalia
AFRICOVER_SM_SPAT_AGG	Somalia Spatially Aggregated Multipurpose Landcover Database	GNS	Somalia
AFRICOVER_SM_WOODY_AGG	Somalia Thematic Woody Aggregation Landcover	GNS	Somalia
AFRICOVER_TZ_ADM	Tanzania Administrative Boundaries	GNS	Tanzania
AFRICOVER_TZ_CULT_AGG	Tanzania Thematic Agriculture Aggregation Landcover	GNS	Tanzania
AFRICOVER_TZ_GRASS_AGG	Tanzania Thematic Grassland Aggregation Landcover	GNS	Tanzania
AFRICOVER_TZ_LNDCOV_GE	Tanzania Landcover	GNS	Tanzania
AFRICOVER_TZ_LNDFRM	Tanzania Geomorphology : Landform and Lithology	GNS	Tanzania
AFRICOVER_TZ_OTHERTOWNS	Tanzania Towns	GNS	Tanzania
AFRICOVER_TZ_POLBND	Tanzania National Boundaries	GNS	Tanzania
AFRICOVER_TZ_RIVERS	Tanzania Rivers	GNS	Tanzania
AFRICOVER_TZ_ROADS	Tanzania Roads	GNS	Tanzania
AFRICOVER_TZ_SPAT_AGG	Tanzania Aggregated Multipurpose Landcover Database	GNS	Tanzania
AFRICOVER_TZ_WOODY_AGG	Tanzania Thematic Woody Aggregation Landcover	GNS	Tanzania
AFRICOVER_UG_ADM	Uganda Administrative Boundaries	GNS	Uganda
AFRICOVER_UG_CULT_AGG	Uganda Thematic Agriculture Aggregation Landcover	GNS	Uganda
AFRICOVER_UG_GRASS_AGG	Uganda Thematic Grassland Aggregation Landcover	GNS	Uganda
AFRICOVER_UG_LNDCOV_GE	Uganda Landcover	GNS	Uganda
AFRICOVER_UG_MJTOWNS	Uganda Major Towns	GNS	Uganda
AFRICOVER_UG_OTHERTOWNS	Uganda Towns	GNS	Uganda
AFRICOVER_UG_POLBND	Uganda National Boundaries	GNS	Uganda
AFRICOVER_UG_RIVERS_GE	Uganda Rivers	GNS	Uganda
AFRICOVER_UG_ROADS_GE	Uganda Roads	GNS	Uganda
AFRICOVER_UG_SPAT_AGG	Uganda Spatially Aggregated Multipurpose Landcover Database	GNS	Uganda
AFRICOVER_UG_WOODY_AGG	Uganda Thematic Woody Aggregation Landcover	GNS	Uganda
AMS7810_S250_U54_NE49_1	AMS China : Ch'ang-chiang Region (Raster Image)	GNS (NIMA)	China | Ch'ang-chiang | Changcheng | Cheongkong | Hainan Sheng | Hainan Province
AMS7810_S250_U54_NE49_2	AMS China : Ch'eng-mai Region (Raster Image)	GNS (NIMA)	China | Chengmai | Jinjiang | Kimkang | Hainan Sheng | Hainan Province
AMS7810_S250_U54_NE49_2	AMS China : Ch'eng-mai Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979	Ch'eng-mai
AMS7810_S250_U54_NE49_5	AMS China : Yai-hsien Region (Raster Image)	GNS (NIMA)	China | Yai-hsien | Yacheng | Hainan Sheng | Hainan Province
AMS7810_S250_U54_NE49_5	AMS China : Yai-hsien Region (Raster Image)	None	Aihsien
AMS7810_S250_U54_NE49_6	AMS China : Wan-ning Region (Raster Image)	GNS (NIMA)	China | Wanning | Manning | Hainan Sheng | Hainan Province
AMS7810_S250_U54_NE49_6	AMS China : Wan-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Wan-ning
AMS7810_S250_U54_NF47_3	AMS China Mien-Ning Region	GNS (NIMA)	China | Mien-Ning | Mianning | Sichuan Province
AMS7810_S250_U54_NF47_4	AMS China Ning-Erh Region	GNS (NIMA)	China | Ning-Erh | Mo-Chiang | Ning'er | Jiulian | Yunnan Province
AMS7810_S250_U54_NF47_7	AMS China Lan-Ts'ang Region	GNS (NIMA)	China | Lan-Ts'ang | Yuan-Chiang | Yunnan Province
AMS7810_S250_U54_NF48_1	AMS China : Meng-tzu Region (Raster Image)	GNS (NIMA)	China | Meng-tzu | Mengtsz | Wenlan | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NF48_3	AMS China : Fu-ning Region (Raster Image)	GNS (NIMA)	China | Funing | Xinhua | Fu-chou | Yunnan Sheng | Yunnan Province | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of | Vietnam, Socialist Republic of
AMS7810_S250_U54_NF48_3	AMS China : Fu-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Fu-ning
AMS7810_S250_U54_NF48_4	AMS China : Pai-se Region (Raster Image)	GNS (NIMA)	China | Pai-se | Bose | Poseh | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_1	AMS China : Lai-pin Region (Raster Image)	GNS (NIMA)	China | Lai-pin | Laibin | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_10	AMS China : Chan-chiang Region (Raster Image)	GNS (NIMA)	China | Chan-chiang | Zhanjiang | Kwangchowwan | Guangdong Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_10	AMS China : Chan-chiang Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_11	AMS China : Tien-pai Region (Raster Image)	GNS (NIMA)	China | Tien-pai | Diancheng | Guangdong Sheng
AMS7810_S250_U54_NF49_11	AMS China : Tien-pai Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_12	AMS China : Ch'ih-ch'i Region (Raster Image)	GNS (NIMA)	China | Chixi | Guangdong Sheng
AMS7810_S250_U54_NF49_12	AMS China : Ch'ih-ch'i Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Ch'ih-ch'i
AMS7810_S250_U54_NF49_12	AMS China : Ch'ih-ch'i Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_14	AMS China : Hai-k'ang Region (Raster Image)	GNS (NIMA)	China | Haikang | Leizhou | Luichow | Guangdong Sheng | Hainan Sheng | Hainan Province
AMS7810_S250_U54_NF49_14	AMS China : Hai-k'ang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hai-k'ang
AMS7810_S250_U54_NF49_14	AMS China : Hai-k'ang Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_2	AMS China : Kuei-p'ing Region (Raster Image)	GNS (NIMA)	China | Kuei-p'ing | Guiping | SÂ¿Â¿nchow | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_2	AMS China : Kuei-p'ing Region (Raster Image)	None	Sunchow
AMS7810_S250_U54_NF49_3	AMS China : Wu-chou Region (Raster Image)	GNS (NIMA)	China | Wu-chou | Wuzhou | Ts'ang-wu | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of | Guangdong Sheng
AMS7810_S250_U54_NF49_3	AMS China : Wu-chou Region (Raster Image)	None	Tsangwu | Guangdong Province
AMS7810_S250_U54_NF49_4	AMS China : Kuang-chou Region (Raster Image)	GNS (NIMA)	China | Kuang-chou | Guangzhou | Canton | Guangdong Sheng
AMS7810_S250_U54_NF49_4	AMS China : Kuang-chou Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_5	AMS China : Nan-ning Region (Raster Image)	GNS (NIMA)	China | Nanning | Yung-ning | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_5	AMS China : Nan-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Nan-ning
AMS7810_S250_U54_NF49_6	AMS China : YÂ¿-lin Region (Raster Image)	GNS (NIMA)	China | Yulin | Watlam | Guangdong Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_6	AMS China : YÂ¿-lin Region (Raster Image)	None	YÂ¿Â¿-lin | Guangdong Province
AMS7810_S250_U54_NF49_7	AMS China : Lo-ting Region (Raster Image)	GNS (NIMA)	China | Lo-ting | Luoding | Guangdong Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF49_7	AMS China : Lo-ting Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_8	AMS China : Chung-shan Region (Raster Image)	GNS (NIMA)	China | Chung-shan | Shiqizhen | Shiqi | Zhongshan | Shekki | Guangdong Sheng | Macau | Macau Special Administrative Region | Macau, RegiÂ¿Â¿o Administrativa Especial de | Aomen Tebie Xingzhengqu | Hong Kong | Hong Kong Special Administrative Region | Xianggang Tebie Xingzhengqu
AMS7810_S250_U54_NF49_8	AMS China : Chung-shan Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_9	AMS China : Ho-p'u Region (Raster Image)	GNS (NIMA)	China | Ho-p'u | Hepu | Lianzhou | Hoppo | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NF50_1	AMS China : Ho-yÃ¼an Region (Raster Image)	GNS (NIMA)	China | Ho-yÃ¼an | Yuancheng | HoyÃ¼n | Heyuan | Guangdong Sheng
AMS7810_S250_U54_NF50_1	AMS China : Ho-yÃ¼an Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF50_2	AMS China : Shan-t'ou Region (Raster Image)	GNS (NIMA)	China | Shantou | Swatow | Guangdong Sheng | Fujian Sheng
AMS7810_S250_U54_NF50_2	AMS China : Shan-t'ou Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shan-t'ou
AMS7810_S250_U54_NF50_2	AMS China : Shan-t'ou Region (Raster Image)	None	Guangdong Province | Fujian Province
AMS7810_S250_U54_NF50_3	AMS China : Chao-an Region (Raster Image)	GNS (NIMA)	China | Chao-an | Zhao'an | Nanzhao | Fujian Sheng | Guangdong Sheng
AMS7810_S250_U54_NF50_3	AMS China : Chao-an Region (Raster Image)	None	Fujian Province | Guangdong Province
AMS7810_S250_U54_NF50_5	AMS China : Hong Kong Region (Raster Image)	GNS (NIMA)	China | Hong Kong Special Administrative Region | Hong Kong | Xianggang Tebie Xingzhengqu | Guangdong Sheng
AMS7810_S250_U54_NF50_5	AMS China : Hong Kong Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF50_6	AMS China : Lu-feng Region (Raster Image)	GNS (NIMA)	China | Lufeng | Donghai | Lukfung | Guangdong Sheng
AMS7810_S250_U54_NF50_6	AMS China : Lu-feng Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Lu-feng
AMS7810_S250_U54_NF50_6	AMS China : Lu-feng Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG47_10	AMS China T'eng-Ch'ung Region	GNS (NIMA)	China | T'eng-Ch'ung | Yunnan Province | Burma
AMS7810_S250_U54_NG47_11	AMS China Ta-Li Region	GNS (NIMA)	China | Ta-Li | Dali | Yunnan province
AMS7810_S250_U54_NG47_12	AMS China Ch'u Hsiung Region	GNS (NIMA)	China | Ch'u Hsiung | Chuxiong | Yunnan Province
AMS7810_S250_U54_NG47_14	AMS China Lung-Ling Region	GNS (NIMA)	China | Longshan | Yunnan Province | Lung-Ling
AMS7810_S250_U54_NG47_15	AMS China Yun-Hsien Region	GNS (NIMA)	China | Yun-Hsien | Yunxian | Yunnan Province
AMS7810_S250_U54_NG47_16	AMS China Shuang-Pai Region	GNS (NIMA)	China | Shuang-Pai | Shuangbai | Yunnan Province
AMS7810_S250_U54_NG47_2	AMS China Kung-Shan Region	GNS (NIMA)	China | Kung-Shan | Gongshan | Yunnan Province
AMS7810_S250_U54_NG47_3	AMS China Wei Hsi Region	GNS (NIMA)	China | Wei Hsi | Weixi | Yunnan Province
AMS7810_S250_U54_NG47_4	AMS China Yen-Yuan Region	GNS (NIMA)	China | Yen-Yuan | Yanjing | Sichuan Province
AMS7810_S250_U54_NG47_6	AMS China Fu-Kung Region	GNS (NIMA)	China | Fu-Kung | Shangba | Yunnan Province
AMS7810_S250_U54_NG47_7	AMS China Li-Chiang Region	GNS (NIMA)	China | Li-Chiang | Lijiang | Dayan | Yunnan Province
AMS7810_S250_U54_NG47_8	AMS China Yung-Sheng Region	GNS (NIMA)	China | Yung-Sheng | Yongsheng | Yongbei | Yunnan Province
AMS7810_S250_U54_NG48_1	AMS China : Hsi-ch'ang Region (Raster Image)	GNS (NIMA)	China | Hsi-ch'ang | Ning-yÂ¿Â¿an | Xichang | Sichuan Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_1	AMS China : Hsi-ch'ang Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NG48_10	AMS China : Ch'Â¿Â¿-ching Region (Raster Image)	GNS (NIMA)	China | Ch'Â¿Â¿-ching | KÂ¿Â¿tsing | Qujing | Guizhou Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_10	AMS China : Ch'Â¿Â¿-ching Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_11	AMS China : Ch'ing-lung Region (Raster Image)	GNS (NIMA)	China | Ch'ing-lung | An-nan | Liancheng | Qinglong | Guizhou Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG48_11	AMS China : Ch'ing-lung Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_12	AMS China : Tu-shan Region (Raster Image)	GNS (NIMA)	China | Tu-shan | Dushan | Guizhou Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG48_12	AMS China : Tu-shan Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_13	AMS China : T'ung-hai Region (Raster Image)	GNS (NIMA)	China | T'ung-hai | Xiushan | Tonghai | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_14	AMS China : Lo-p'ing Region (Raster Image)	GNS (NIMA)	China | Lo-p'ing | Luoping | Luoxiong | Guizhou Sheng | Yunnan Sheng | Yunnan Province | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG48_14	AMS China : Lo-p'ing Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_15	AMS China : Kuang-nan Region (Raster Image)	GNS (NIMA)	China | Kuang-nan | Pao-ning | Guangnan | Liancheng | Yunnan Sheng | Yunnan Province | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of | Guizhou Sheng
AMS7810_S250_U54_NG48_15	AMS China : Kuang-nan Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_16	AMS China : Ho-ch'ih Region (Raster Image)	GNS (NIMA)	China | Ho-ch'ih | Hechi | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG48_2	AMS China : Chao-t'ung Region (Raster Image)	GNS (NIMA)	China | Chao-t'ung | En-an | Zhaotong | Sichuan Sheng | Guizhou Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_2	AMS China : Chao-t'ung Region (Raster Image)	None	Sichuan Province | Guizhou Province
AMS7810_S250_U54_NG48_3	AMS China : Pi-chieh Region (Raster Image)	GNS (NIMA)	China | Pi-chieh | Bijie | Sichuan Sheng | Guizhou Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_3	AMS China : Pi-chieh Region (Raster Image)	None	Sichuan Province | Guizhou Province
AMS7810_S250_U54_NG48_4	AMS China : Tsun-i Region (Raster Image)	GNS (NIMA)	China | Tsun-i | Tsunyi | Zunyi | Guizhou Sheng
AMS7810_S250_U54_NG48_4	AMS China : Tsun-i Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_5	AMS China : Hui-tse Region (Raster Image)	GNS (NIMA)	China | Hui-tse | Hweitseh | Tungchwan | Zhongping | Sichuan Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_5	AMS China : Hui-tse Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NG48_6	AMS China : Wei-ning Region (Raster Image)	GNS (NIMA)	China | Weining | Guizhou Sheng | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_6	AMS China : Wei-ning Region (Raster Image)	None	Wei-ning | Guizhou Province
AMS7810_S250_U54_NG48_7	AMS China : An-shun Region (Raster Image)	GNS (NIMA)	China | Anshun | Guizhou Sheng
AMS7810_S250_U54_NG48_7	AMS China : An-shun Region (Raster Image)	None	An-shun | Guizhou Province
AMS7810_S250_U54_NG48_9	AMS China : K'un-ming Region (Raster Image)	GNS (NIMA)	China | Kunming | YÂ¿Â¿nnanfu | Yunnan Sheng | Yunnan Province
AMS7810_S250_U54_NG48_9	AMS China : K'un-ming Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	K'un-ming
AMS7810_S250_U54_NG49_1	AMS China : YÂ¿Â¿-p'ing Region (Raster Image)	GNS (NIMA)	China | Yuping | Pingxi | Hunan Sheng | Hunan Province | Guizhou Sheng
AMS7810_S250_U54_NG49_1	AMS China : YÂ¿Â¿-p'ing Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	YÂ¿Â¿-p'ing
AMS7810_S250_U54_NG49_1	AMS China : YÂ¿Â¿-p'ing Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG49_10	AMS China : Kuei-lin Region (Raster Image)	GNS (NIMA)	China | Kuei-lin | Guilin | Kweilin | Hunan Sheng | Hunan Province | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG49_11	AMS China : Ch'Â¿Â¿an-hsien Region (Raster Image)	GNS (NIMA)	China | Ch'Â¿Â¿an-hsien | Quanzhou | Hunan Sheng | Hunan Province | Guangdong Sheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG49_11	AMS China : Ch'Â¿Â¿an-hsien Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG49_12	AMS China : Ch'en-hsien Region (Raster Image)	GNS (NIMA)	China | Ch'en-hsien | Chenzhou | Hunan Sheng | Hunan Province | Jiangxi Sheng | Guangdong Sheng
AMS7810_S250_U54_NG49_12	AMS China : Ch'en-hsien Region (Raster Image)	None	Jiangxi Province | Guangdong Province
AMS7810_S250_U54_NG49_13	AMS China : Liu-chou Region (Raster Image)	GNS (NIMA)	China | Liu-chou | Linzhou | Liuchow | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of
AMS7810_S250_U54_NG49_14	AMS China : Li-p'u Region (Raster Image)	GNS (NIMA)	China | Lipu | Licheng | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of | Hunan Sheng | Hunan Province
AMS7810_S250_U54_NG49_14	AMS China : Li-p'u Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Li-p'u
AMS7810_S250_U54_NG49_15	AMS China : Ho-hsien Region (Raster Image)	GNS (NIMA)	China | Ho-hsien | Hejie | Guangxi Zhuangzu Zizhiqu | Guangxi, Zhuang Autonomous Region of | Hunan Sheng | Hunan Province | Guangdong Sheng
AMS7810_S250_U54_NG49_15	AMS China : Ho-hsien Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG49_16	AMS China : Ch'Â¿-chiang Region (Raster Image)	GNS (NIMA)	China | Ch'Â¿Â¿-chiang | Shaoguan | KÂ¿Â¿kong | Guangdong Sheng | Hunan Sheng | Hunan Province
AMS7810_S250_U54_NG49_16	AMS China : Ch'Â¿-chiang Region (Raster Image)	None	Kukong | Guangdong Province
