layer_id	Title	Thesaurus	placekeys
AFRICOVER_KE_OTHERTOWNS	Kenya Towns	GNS	Kenya
AFRICOVER_KE_POLBND	Kenya National Boundaries	GNS	Kenya
AFRICOVER_KE_RIVERS	Kenya Rivers	GNS	Kenya
AFRICOVER_KE_ROADS	Kenya Roads	GNS	Kenya
AFRICOVER_KE_SPAT_AGG	Kenya Spatially Aggregated Multipurpose Landcover Database	GNS	Kenya
AFRICOVER_KE_WOODY_AGG	Kenya Thematic Woody Aggregation Landcover	GNS	Kenya
AFRICOVER_RW_ADM	Rwanda Administrative Boundaries	GNS	Rwanda
AFRICOVER_RW_CULT_AGG	Rwanda Thematic Agriculture Aggregation Landcover	GNS	Rwanda
AFRICOVER_RW_GRASS_AGG	Rwanda Thematic Grassland Aggregation Landcover	GNS	Rwanda
AFRICOVER_RW_LNDCOV	Rwanda Landcover	GNS	Rwanda
AFRICOVER_RW_LNDFRM	Rwanda Geomorphology : Landform and Lithology	GNS	Rwanda
AFRICOVER_RW_MJTWNS	Rwanda Major Towns	GNS	Rwanda
AFRICOVER_RW_OTHERTOWNS	Rwanda Towns	GNS	Rwanda
AFRICOVER_RW_POLBND	Rwanda National Boundaries	GNS	Rwanda
AFRICOVER_RW_RIVERS	Rwanda Rivers	GNS	Rwanda
AFRICOVER_RW_ROADS	Rwanda Roads	GNS	Rwanda
AFRICOVER_RW_SPAT_AGG	Rwanda Spatially Aggregated Multipurpose Landcover Database	GNS	Rwanda
AFRICOVER_RW_WOODY_AGG	Rwanda Thematic Woody Aggregation Landcover	GNS	Rwanda
AFRICOVER_SD_ADM	Sudan Administrative Boundaries	GNS	Sudan
AFRICOVER_SD_CULT_AGG	Sudan Thematic Agriculture Aggregation Landcover	GNS	Sudan
AFRICOVER_SD_GRASS_AGG	Sudan Thematic Grassland Aggregation Landcover	GNS	Sudan
AFRICOVER_SD_LNDCOV_GE	Sudan Landcover	GNS	Sudan
AFRICOVER_SD_MJTOWNS	Sudan Major Towns	GNS	Sudan
AFRICOVER_SD_OTHERTOWNS	Sudan Towns	GNS	Sudan
AFRICOVER_SD_POLBND	Sudan National Boundaries	GNS	Sudan
AFRICOVER_SD_RIVERS	Sudan Rivers	GNS	Sudan
AFRICOVER_SD_ROADS	Sudan Roads	GNS	Sudan
AFRICOVER_SD_SPAT_AGG	Sudan Spatially Aggregated Multipurpose Landcover Database	GNS	Sudan
AFRICOVER_SD_WOODY_AGG	Sudan Thematic Woody Aggregation Landcover	GNS	Sudan
AFRICOVER_SM_ADM	Somalia Administrative Boundaries	GNS	Somalia
AFRICOVER_SM_CULT_AGG	Somalia Thematic Agriculture Aggregation Landcover	GNS	Somalia
AFRICOVER_SM_GRASS_AGG	Somalia Thematic Grassland Aggregation Landcover	GNS	Somalia
AFRICOVER_SM_LNDCOV_GE	Somalia Landcover	GNS	Somalia
AFRICOVER_SM_LNDFRM	Somalia Geomorphology : Landform and Lithology	GNS	Somalia
AFRICOVER_SM_MJTOWNS	Somalia Major Towns	GNS	Somalia
AFRICOVER_SM_OTHERTOWNS	Somalia Towns	GNS	Somalia
AFRICOVER_SM_POLBND	Somalia National Boundaries	GNS	Somalia
AFRICOVER_SM_RIVERS	Somalia Rivers	GNS	Somalia
AFRICOVER_SM_ROADS	Somalia Roads	GNS	Somalia
AFRICOVER_SM_SPAT_AGG	Somalia Spatially Aggregated Multipurpose Landcover Database	GNS	Somalia
AFRICOVER_SM_WOODY_AGG	Somalia Thematic Woody Aggregation Landcover	GNS	Somalia
AFRICOVER_TZ_ADM	Tanzania Administrative Boundaries	GNS	Tanzania
AFRICOVER_TZ_CULT_AGG	Tanzania Thematic Agriculture Aggregation Landcover	GNS	Tanzania
AFRICOVER_TZ_GRASS_AGG	Tanzania Thematic Grassland Aggregation Landcover	GNS	Tanzania
AFRICOVER_TZ_LNDCOV_GE	Tanzania Landcover	GNS	Tanzania
AFRICOVER_TZ_LNDFRM	Tanzania Geomorphology : Landform and Lithology	GNS	Tanzania
AFRICOVER_TZ_OTHERTOWNS	Tanzania Towns	GNS	Tanzania
AFRICOVER_TZ_POLBND	Tanzania National Boundaries	GNS	Tanzania
AFRICOVER_TZ_RIVERS	Tanzania Rivers	GNS	Tanzania
AFRICOVER_TZ_ROADS	Tanzania Roads	GNS	Tanzania
AFRICOVER_TZ_SPAT_AGG	Tanzania Aggregated Multipurpose Landcover Database	GNS	Tanzania
AFRICOVER_TZ_WOODY_AGG	Tanzania Thematic Woody Aggregation Landcover	GNS	Tanzania
AFRICOVER_UG_ADM	Uganda Administrative Boundaries	GNS	Uganda
AFRICOVER_UG_CULT_AGG	Uganda Thematic Agriculture Aggregation Landcover	GNS	Uganda
AFRICOVER_UG_GRASS_AGG	Uganda Thematic Grassland Aggregation Landcover	GNS	Uganda
AFRICOVER_UG_LNDCOV_GE	Uganda Landcover	GNS	Uganda
AFRICOVER_UG_MJTOWNS	Uganda Major Towns	GNS	Uganda
AFRICOVER_UG_OTHERTOWNS	Uganda Towns	GNS	Uganda
AFRICOVER_UG_POLBND	Uganda National Boundaries	GNS	Uganda
AFRICOVER_UG_RIVERS_GE	Uganda Rivers	GNS	Uganda
AFRICOVER_UG_ROADS_GE	Uganda Roads	GNS	Uganda
AFRICOVER_UG_SPAT_AGG	Uganda Spatially Aggregated Multipurpose Landcover Database	GNS	Uganda
AFRICOVER_UG_WOODY_AGG	Uganda Thematic Woody Aggregation Landcover	GNS	Uganda
AMS7810_S250_U54_NE49_2	AMS China : Ch'eng-mai Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979	Ch'eng-mai
AMS7810_S250_U54_NE49_5	AMS China : Yai-hsien Region (Raster Image)	None	Aihsien
AMS7810_S250_U54_NE49_6	AMS China : Wan-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Wan-ning
AMS7810_S250_U54_NF48_3	AMS China : Fu-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Fu-ning
AMS7810_S250_U54_NF49_10	AMS China : Chan-chiang Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_11	AMS China : Tien-pai Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_12	AMS China : Ch'ih-ch'i Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Ch'ih-ch'i
AMS7810_S250_U54_NF49_12	AMS China : Ch'ih-ch'i Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_14	AMS China : Hai-k'ang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hai-k'ang
AMS7810_S250_U54_NF49_14	AMS China : Hai-k'ang Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_2	AMS China : Kuei-p'ing Region (Raster Image)	None	Sunchow
AMS7810_S250_U54_NF49_4	AMS China : Kuang-chou Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_5	AMS China : Nan-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Nan-ning
AMS7810_S250_U54_NF49_7	AMS China : Lo-ting Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF49_8	AMS China : Chung-shan Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF50_1	AMS China : Ho-yÃƒÂ¼an Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF50_2	AMS China : Shan-t'ou Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shan-t'ou
AMS7810_S250_U54_NF50_5	AMS China : Hong Kong Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NF50_6	AMS China : Lu-feng Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Lu-feng
AMS7810_S250_U54_NF50_6	AMS China : Lu-feng Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG48_1	AMS China : Hsi-ch'ang Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NG48_10	AMS China : Ch'Ã‚Â¿Ã‚Â¿-ching Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_11	AMS China : Ch'ing-lung Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_12	AMS China : Tu-shan Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_14	AMS China : Lo-p'ing Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_15	AMS China : Kuang-nan Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_4	AMS China : Tsun-i Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG48_5	AMS China : Hui-tse Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NG48_9	AMS China : K'un-ming Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	K'un-ming
AMS7810_S250_U54_NG49_1	AMS China : YÃ‚Â¿Ã‚Â¿-p'ing Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	YÃ‚Â¿Ã‚Â¿-p'ing
AMS7810_S250_U54_NG49_1	AMS China : YÃ‚Â¿Ã‚Â¿-p'ing Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG49_11	AMS China : Ch'Ã‚Â¿Ã‚Â¿an-hsien Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG49_14	AMS China : Li-p'u Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Li-p'u
AMS7810_S250_U54_NG49_15	AMS China : Ho-hsien Region (Raster Image)	None	Guangdong Province
AMS7810_S250_U54_NG49_2	AMS China : Chih-chiang Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG49_3	AMS China : Shao-yang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shao-yang
AMS7810_S250_U54_NG49_4	AMS China : Hsiang-t'an Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hsiang-t'an
AMS7810_S250_U54_NG49_4	AMS China : Hsiang-t'an Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NG49_5	AMS China : San-sui Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	San-sui
AMS7810_S250_U54_NG49_5	AMS China : San-sui Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG49_6	AMS China : Ching-hsien Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG49_7	AMS China : Ling-ling Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Ling-ling
AMS7810_S250_U54_NG49_8	AMS China : Heng-yang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Heng-yang
AMS7810_S250_U54_NG49_8	AMS China : Heng-yang Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NG49_9	AMS China : Jung-chiang Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NG50_10	AMS China : Ch'ang-t'ing Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Ch'ang-t'ing
AMS7810_S250_U54_NG50_11	AMS China : Yung-ch'un Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NG50_12	AMS China : P'u-t'ien Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NG50_15	AMS China : Hsia-men Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NG50_2	AMS China : Nan-ch'eng Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Nan-ch'eng
AMS7810_S250_U54_NG50_4	AMS China : P'u-ch'eng Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	P'u-ch'eng
AMS7810_S250_U54_NG50_5	AMS China : T'ai-ho Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NG50_7	AMS China : Nan-p'ing Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Nan-p'ing
AMS7810_S250_U54_NG50_7	AMS China : Nan-p'ing Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NG50_8	AMS China : Fu-chou Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NG51_5	AMS China : Hsia-p'u Region (Raster Image)	None	Fujian Province
AMS7810_S250_U54_NH48_10	AMS China : Tzu-kung Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_11	AMS China : Nei-chiang Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_12	AMS China : Ch'ung-ch'ing Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NH48_14	AMS China : I-pin Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_16	AMS China : T'ung-tzu Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NH48_2	AMS China : Mien-chu Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_5	AMS China : Chiung-lai Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)</	Chiung-lai
AMS7810_S250_U54_NH48_6	AMS China : Ch'eng-tu Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_7	AMS China : Sui-ning Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Sui-ning
AMS7810_S250_U54_NH48_7	AMS China : Sui-ning Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_8	AMS China : Ta-chu Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH48_9	AMS China : Jung-ching Region (Raster Image)	None	Sichuan Province
AMS7810_S250_U54_NH49_10	AMS China : Ta-yung Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_13	AMS China : Sung-t'ao Region (Raster Image)	None	Guizhou Province
AMS7810_S250_U54_NH49_14	AMS China : Y??an-ling Region (Raster Image)	None	Y??an-ling
AMS7810_S250_U54_NH49_16	AMS China : Ch'ang-sha Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Changsa
AMS7810_S250_U54_NH49_16	AMS China : Ch'ang-sha Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NH49_3	AMS China : Tzu-chung Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_4	AMS China : An-lu Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_5	AMS China : Wan-hsien Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_7	AMS China : I-ch'ang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	I-ch'ang
AMS7810_S250_U54_NH49_7	AMS China : I-ch'ang Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_8	AMS China : Hsiao-kan Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH49_9	AMS China : P'eng-shui Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	P'eng-shui
AMS7810_S250_U54_NH50_13	AMS China : Ch'ing-chiang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Qingjiang
AMS7810_S250_U54_NH50_13	AMS China : Ch'ing-chiang Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NH50_14	AMS China : Nan-ch'ang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Nan-ch'ang
AMS7810_S250_U54_NH50_14	AMS China : Nan-ch'ang Region (Raster Image)	None	Jiangxi Province
AMS7810_S250_U54_NH50_5	AMS China : Han-k'ou Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Han-k'ou
AMS7810_S250_U54_NH50_5	AMS China : Han-k'ou Region (Raster Image)	None	Hubei Province
AMS7810_S250_U54_NH50_6	AMS China : T'ai-hu Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	T'ai-hu
AMS7810_S250_U54_NH50_7	AMS China : Huai-ning Region (Raster Image)	None	Anhui Province
AMS7810_S250_U54_NH51_1	AMS China : Shang-hai, West Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shang-hai
AMS7810_S250_U54_NH51_10	AMS China : Yin-hsien Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Yinxian
AMS7810_S250_U54_NH51_13	AMS China : Yung-chia Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Yongjia
AMS7810_S250_U54_NH51_13	AMS China : Yung-chia Region (Raster Image)	None	Zhejiang Province
AMS7810_S250_U54_NH51_14	AMS China : Sung-men Region (Raster Image)	None	Zhejiang Province
AMS7810_S250_U54_NH51_2	AMS China : Shang-hai, East Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shang-hai
AMS7810_S250_U54_NH51_2	AMS China : Shang-hai, East Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NH51_6	AMS China : Ting-hai Region (Raster Image)	None	Zhejiang Province
AMS7810_S250_U54_NH51_9	AMS China : Tz'u-ch'i Region (Raster Image)	None	Zhejiang Province
AMS7810_S250_U54_NI49_13	AMS China : An-k'ang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	An-k'ang
AMS7810_S250_U54_NI49_5	AMS China : Hsi-an Region (Raster Image)	None	Shaanxi Province
AMS7810_S250_U54_NI49_8	AMS China : Cheng-hsien Region (Raster Image)	None	Henan Province
AMS7810_S250_U54_NI50_12	AMS China : Huai-an Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Huai-an
AMS7810_S250_U54_NI50_12	AMS China : Huai-an Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NI50_3	AMS China : T'eng-hsien Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NI50_5	AMS China : K'ai-feng Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	K'ai-feng
AMS7810_S250_U54_NI50_9	AMS China : Huai-yang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Huai-yang
AMS7810_S250_U54_NI51_1	AMS China : Ling-shan-wei Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NI51_13	AMS China : Nan-t'ung Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NI51_14	AMS China : LÃƒÂ¼-ssu-chen Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NI51_5	AMS China : Pa-t'an Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NI51_9	AMS China : Yen-ch'eng Region (Raster Image)	None	Jiangsu Province
AMS7810_S250_U54_NJ49_1	AMS China : T'iao-chu-miao Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	T'iao-chu-miao
AMS7810_S250_U54_NJ49_11	AMS China : Fen-yang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Fen-yang
AMS7810_S250_U54_NJ49_11	AMS China : Fen-yang Region (Raster Image)	None	Shanxi Province
AMS7810_S250_U54_NJ49_15	AMS China : Lin-fen Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Lin-fen
AMS7810_S250_U54_NJ49_6	AMS China : Shen-mu Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shen-mu
AMS7810_S250_U54_NJ50_11	AMS China : Hui-min Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hui-min
AMS7810_S250_U54_NJ50_12	AMS China : I-hsien Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ50_15	AMS China : Chi-nan (East) Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ50_16	AMS China : Wei-hsien Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Weixian
AMS7810_S250_U54_NJ50_16	AMS China : Wei-hsien Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ50_3	AMS China : T'ien-ching Region (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NJ50_4	AMS China : Ch'ang-li Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Ch'ang-li
AMS7810_S250_U54_NJ50_4	AMS China : Ch'ang-li Region (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NJ50_5	AMS China : Shih-men Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Shimen
AMS7810_S250_U54_NJ50_5	AMS China : Shih-men Region (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NJ50_6	AMS China : Ho-chien Region (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NJ51_10	AMS China : Wei-hai-wei Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ51_13	AMS China : Ch'ing-tao Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ51_14	AMS China : Ching-hai-wei Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NJ51_9	AMS China : Yen-t'ai Region (Raster Image)	None	Shandong Province
AMS7810_S250_U54_NK49_10	AMS China : Hsi-nao-pao Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hsi-nao-pao
AMS7810_S250_U54_NK49_3	AMS China : P'ang-pei Region (Raster Image)	None	Ereen Dabasa
AMS7810_S250_U54_NK49_5	AMS China : T'u-ho-mu Miao Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	T'u-ho-mu Miao
AMS7810_S250_U54_NK49_5	AMS China : T'u-ho-mu Miao Region (Raster Image)	None	TÃ‚Â¿Ã‚Â¿hÃ‚Â¿Ã‚Â¿miin SÃ‚Â¿Ã‚Â¿me
AMS7810_S250_U54_NK49_6	AMS China : P'ang-chiang Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	P'ang-chiang
AMS7810_S250_U54_NK49_7	AMS China : Wu-yÃ‚Â¿Ã‚Â¿an Region (Raster Image)	None	Wu-yÃ‚Â¿Ã‚Â¿an
AMS7810_S250_U54_NK49_9	AMS China : Chi-ning Region, Nei Mongol Zizhiqu  (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NK50_4	AMS China : Pao-ch'ang Region (Raster Image)	None	Hebei Province
AMS7810_S250_U54_NL50_10	AMS China : Hsi-hao-chi-t'e Wang-fu Region (Raster Image)	Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)	Hsi-hao-chi-t'e-wang-fu
AMS7810_S250_U54_NL50_10	AMS China : Hsi-hao-chi-t'e Wang-fu Region (Raster Image)	None	Hsi-hao-chi-t'e Wang-fu
