Source value,VIAF URI,VIAF Label
"Andriveau-Goujon, E. (Eugene), 1832-1897.",https://viaf.org/viaf/49524957,"Andriveau-Goujon, Eugène (1832-1897)"
"Andriveau-Goujon, E. (Eugène), 1832-1897.",https://viaf.org/viaf/49524957,"Andriveau-Goujon, E. (Eugène), 1832-1897."
Andrus & Judd.,https://viaf.org/viaf/150283104,Andrus & Judd
"Annin, William B., 1791?-1839.",https://viaf.org/viaf/75343203,"Annin, William B., 1791?-1839"
Annin & Smith.,https://viaf.org/viaf/133833522,Annin & Smith
Antonio Vallardi (Firm),https://viaf.org/viaf/172783391,Antonio Vallardi (Firm)
"Anville, Jean Baptiste Bourguignon d', 1697-1782.",https://viaf.org/viaf/7472342,"Anville, Jean-Baptiste Bourguignon d', 1697-1782."
"Applied Geographics, Inc.",https://viaf.org/viaf/143232566,"Applied Geographics, Inc."
"Archer, J., bookseller.",https://viaf.org/viaf/14168390,"Archer, J. (Bookseller)"
Areas of Critical Environmental Concern Program (Mass.),https://viaf.org/viaf/138539382,Areas of Critical Environmental Concern Program (Mass.)
"Arndt, Raymond E.",https://viaf.org/viaf/65506467,"Arndt, Raymond E."
"Arnold, Stuart Amos.",https://viaf.org/viaf/56913196,"Arnold, Stuart Amos 17..-18.."
Arnold Bopp & Co.,https://viaf.org/viaf/1244145856985622920765,Arnold Bopp und Co (Zürich)
"Arrivet, J.",https://viaf.org/viaf/47064506,"Arrivet, J."
"Arrowsmith, Aaron, 1750-1823.",https://viaf.org/viaf/18101110,"Arrowsmith, Aaron, 1750-1823."
"Arrowsmith, John, 1790-1873.",https://viaf.org/viaf/49525065,"Arrowsmith, John, 1790-1873"
Artaria & Co.,https://viaf.org/viaf/133689139,Artaria & Co.
"Asano, Yahe, fl. 1783.",https://viaf.org/viaf/53518377,"Asano, Yahē, active 1783"
Association for the Preservation of Cape Cod,https://viaf.org/viaf/150754811,Association for the Preservation of Cape Cod
Atlanta Regional Commission (ARC),https://viaf.org/viaf/140692455,Atlanta Regional Commission
Aubert (Firm),https://viaf.org/viaf/124902827,Aubert (Firm)
"Aubree, Armand.",https://viaf.org/viaf/74152984,"Aubrée, Armand 17..-18."
B.W. Thayer & Co.,https://viaf.org/viaf/157549412,B.W. Thayer & Co.
"Baarsel, C. van (Cornelius van)",https://viaf.org/viaf/76241618,"Baarsel, C. van (Cornelius)"
"Babcock, Sidney, 1797?-1884.",https://viaf.org/viaf/8817949,"Babcock, Sidney, 1797?-1884"
"Bache, A. D. (Alexander Dallas), 1806-1867.",https://viaf.org/viaf/47067754,"Bache, A. D. (Alexander Dallas), 1806-1867"
Bacon & Co.,https://viaf.org/viaf/150094511,G.W. Bacon & Co.
"Baillieul, Gaspar de.",https://viaf.org/viaf/99850884,"Baillieul, Gaspard, 16..-1744"
Bailly-Bailliere e Hijos.,https://viaf.org/viaf/309825930,Bailly-Baillière é hijos (Madrid)
"Bainbridge, William, 1774-1833.",https://viaf.org/viaf/6246495,"Bainbridge, William, 1774-1833"
"Baker, B. (Benjamin), fl. 1766-1824.",https://viaf.org/viaf/133929670,"Baker, B. (Benjamin), active 1766-1824"
"Baldwin, Cradock, and Joy.",https://viaf.org/viaf/158197537,"Baldwin, Cradock, and Joy."
Baldwin & Cradock.,https://viaf.org/viaf/155859348,Baldwin & Cradock.
"Baluarte, Rafael E.",https://viaf.org/viaf/281148389460010711814,"Baluarte, Rafael E."
"Bannwarth, Th.",https://viaf.org/viaf/306411485,"Bannwarth, Th."
"Barden, W. J. (William Jones), b. 1870.",https://viaf.org/viaf/29340334,"Barden, W. J. (William Jones), 1870-"
"Barker, Ebenezer.",https://viaf.org/viaf/3707713,"Barker, Ebenezer"
"Barnard, William S., b. ca. 1809.",https://viaf.org/viaf/36008254,"Barnard, William S., approximately 1809-"
"Barnes, Rufus L.",https://viaf.org/viaf/2395430,"Barnes, Rufus L."
"Barnsley, Henry.",https://viaf.org/viaf/59355860,"Barnsley, Henri 17..-17..  lieutenant"
"Baroncelli, A. de (Adrien de), b. 1852.",https://viaf.org/viaf/34494428,"Baroncelli, Adrien de 1852-1926"
"Barralet, John James, ca. 1747-1815.",https://viaf.org/viaf/14879017,"Barralet, John James 1747-1815"
"Barriere, le pere, b. 1764.",https://viaf.org/viaf/66355484,"Barrière, 1764-"
"Bates, M., Jr.",https://viaf.org/viaf/86269324,"Bates, M., Jr."
"Bawiec, W. J.",https://viaf.org/viaf/237987135,"Bawiec, W. J."
"Beaurain, Jean de, 1696-1771.",https://viaf.org/viaf/39370560,"Beaurain, Jean de 1696-1771"
"Beautemps-Beaupré, Charles François, 1766-1854.",https://viaf.org/viaf/46934725,"Beautemps-Beaupré, Charles François, 1766-1854"
"Beechey, Frederick William, 1796-1856.",https://viaf.org/viaf/76618686,"Beechey, Frederick William, 1796-1856."
"Beeck, Anna, b. 1678.",https://viaf.org/viaf/99150539,"Beek, Anna, fl.1693-1717."
"Beers, F. W. (Frederick W.)",https://viaf.org/viaf/57853930,"Beers, F. W. (Frederick W.)"
Beijing Hua tong ren shi chang xin xi you xian ze ren gong si,https://viaf.org/viaf/126983731,Beijing hua tong ren shi chang xin xi you xian ze ren gong si
"Beikman, Helen M.",https://viaf.org/viaf/238319220,"Beikman, Helen M."
"Belknap, Jeremy, 1744-1798.",https://viaf.org/viaf/25401749,"Belknap, Jeremy, 1744-1798"
Belknap & Warfield.,https://viaf.org/viaf/128217151,Belknap &Warfield
"Bellin, Jacques Nicolas, 1703-1772.",https://viaf.org/viaf/99885687,"Bellin, Jacques-Nicolas, 1703-1772"
"Benedicti, Hieronymus, ca. 1756-1809.",https://viaf.org/viaf/79202223,"Benedicti, Hieronymus, 1756-1809."
"Benner, F. W.",https://viaf.org/viaf/48977471,"Benner, F. W."
"Bianconi, F., 1840-",https://viaf.org/viaf/14921437,"Bianconi, F., 1840-"
"Bien, Julius, 1826-1909.",https://viaf.org/viaf/2769610,"Bien, Julius, 1826-1909."
"Bignell, John C.",https://viaf.org/viaf/289608102,"Bignell, John C."
"Biurman, Georg, 1700-1755.",https://viaf.org/viaf/62664481,"Biurman, Georg, 1700-1755"
"Blackford, B. L. (Benjamin Lewis)",https://viaf.org/viaf/72832346,"Blackford, B. L. (Benjamin Lewis)"
"Blaeu, Joan, 1596-1673.",https://viaf.org/viaf/41887929,"Blaeu, Joan, 1596-1673."
"Blaeu, Willem Janszoon, 1571-1638.",https://viaf.org/viaf/61587424,"Blaeu, Willem Janszoon, 1571-1638."
"Blair, John, d. 1782.",https://viaf.org/viaf/30727597,"Blair, John, -1782"
"Blanchard, Rufus, 1821-1904.",https://viaf.org/viaf/53108753,"Blanchard, Rufus, 1821-1904"
"Blaskowitz, Charles.",https://viaf.org/viaf/71815382,"Blaskowitz, Charles"
"Blommaert, Samuel, 1590-ca.1670.",https://viaf.org/viaf/2770761,"Blommaert, Samuel, 1590-1670"
"Blossom, Jeffrey C.",https://viaf.org/viaf/46428011,"Blossom, Jeffrey C."
"Blunt, Edmund M. (Edmund March), 1770-1862.",https://viaf.org/viaf/69318546,"Blunt, Edmund M. (Edmund March), 1770-1862"
"Boardman, Harvey.",https://viaf.org/viaf/31828173,"Boardman, Harvey"
"Board of Park and Boulevard Commissioners of Kansas City, Missouri.",https://viaf.org/viaf/135487632,"Kansas City, Mo. Board of Park and Boulevard Commissioners"
"Boas, Franz, 1858-1942.",https://viaf.org/viaf/25308,"Boas, Franz, 1858-1942."
"Boesch, William E.",https://viaf.org/viaf/287506766,"Boesch, William E."
"Boggs, Benj. R. (Benjamin Randolph)",https://viaf.org/viaf/21897717,"Boggs, Benj. R. (Benjamin Randolph)"
"Boggs, William Brenton, 1809-1875.",https://viaf.org/viaf/12242597,"Boggs, William Benton (American painter, 1809-1875)"
"Bonhammer, I.",https://viaf.org/viaf/4719848,"Bonhammer, I."
"Bonne, Rigobert, 1727-1794.",https://viaf.org/viaf/39418086,"Bonne, Rigobert, 1727-1794."
"Bonner, John, ca. 1643-1726.",https://viaf.org/viaf/60325390,"Bonner, John, approximately 1643-1726"
"Bornemann, F. W.",https://viaf.org/viaf/56369241,"Bornemann, F. W."
Boston (Mass.). Back Bay Commissioners.,https://viaf.org/viaf/133883277,Boston (Mass.). Back Bay Commissioners
Boston (Mass.). City Council. Joint Standing Committee on Boston Harbor.,https://viaf.org/viaf/145546632,Boston (Mass.). City Council. Joint Standing Committee on Boston Harbor
Boston (Mass.). Cochituate Water Board.,https://viaf.org/viaf/138979457,"Boston, Mass. Cochituate Water Board"
Boston (Mass.). Engineering Dept.,https://viaf.org/viaf/123163742,Boston (Mass.). Engineering Department
Boston (Mass.). Transit Commission.,https://viaf.org/viaf/131952917,"Boston, Mass. Transit Commission"
Boston and Maine Railroad. Committee of Investigation.,https://viaf.org/viaf/150375408,Boston and Maine Railroad. Committee of Investigation
Boston and Roxbury Mill Corporation.,https://viaf.org/viaf/143166290,Boston and Roxbury Mill Corporation
Boston Assessing Department,https://viaf.org/viaf/149011911,Boston (Mass.). Assessing Department
Boston Edison Company,https://viaf.org/viaf/134398814,Boston Edison Company
Boston Society of Natural History.,https://viaf.org/viaf/141312914,Boston society of natural history
Boston University. Dept. of Geography.,https://viaf.org/viaf/145438916,Boston University. Department of Geography
Boston Water Power Company,https://viaf.org/viaf/126768299,Boston Water Power Company
"Boteler, Thomas, d. 1829.",https://viaf.org/viaf/66812330,"Boteler, Thomas, -1829"
"Bouffard, L.",https://viaf.org/viaf/106990807,"Bouffard, L."
"Bouinais, A. (Albert), 1851-1895",https://viaf.org/viaf/21279575,"Bouinais, Albert, 1851-1895"
"Bourcet, Pierre Joseph de, 1700-1780.",https://viaf.org/viaf/44396473,"Bourcet, Pierre-Joseph de, 1700-1780"
"Bourquin, F. (Frederick), b. 1808.",https://viaf.org/viaf/65447554,"Bourquin, F. (Frederick), 1808-"
"Boutelle, C. O. (Charles Otis)",https://viaf.org/viaf/43564224,"Boutelle, C. O. (Charles Otis)"
"Bouve, Ephraim W., 1817-1897.",https://viaf.org/viaf/65456922,"Bouvé, Ephraim W., 1817-1897"
"Bowditch, Nathaniel, 1773-1838.",https://viaf.org/viaf/29701293,"Bowditch, Nathaniel, 1773-1838"
Bowen & Co.,https://viaf.org/viaf/128960237,Bowen & Co.
"Bowles, Carington, 1724-1793.",https://viaf.org/viaf/74153482,"Bowles, Carington, 1724-1793"
"Bowles, John, 1701-1779.",https://viaf.org/viaf/54449353,"Bowles, John, 1701?-1779"
"Boydell, John, 1719-1804.",https://viaf.org/viaf/59137316,"Boydell, John, 1719-1804"
"Boynton, George W., d. 1884.",https://viaf.org/viaf/28318381,"Boynton, George W., ....-1884"
"Bracher, Wm. (William)",https://viaf.org/viaf/60642075,"Bracher, Wm. (William)"
"Bradford, William, 1663-1752.",https://viaf.org/viaf/59137165,"Bradford, William, 1663-1752"
"Braun, Georg, 1540 or 1-1622.",https://viaf.org/viaf/108953469,"Braun, Georg, 1541-1622"
"Bravo, Juan, lithographer.",https://viaf.org/viaf/41648523,"Bravo, Juan, lithographer"
"Brewster, Charles W. (Charles Warren), 1802-1868.",https://viaf.org/viaf/26917388,"Brewster, Charles W. (Charles Warren), 1802-1868"
"Brigham, William Tufts, 1841-1926.",https://viaf.org/viaf/50541762,"Brigham, William Tufts, 1841-1926"
Briquet & fils.,https://viaf.org/viaf/514145856881522920361,Briquet & fils
British South Africa Company.,https://viaf.org/viaf/150886636,British South Africa company
"Brolin, Jonas, 1731-1804.",https://viaf.org/viaf/307446352,"Brolin, Jonas, 1731-1804"
"Bromley, George Washington.",https://viaf.org/viaf/23387784,"Bromley, George Washington"
"Bromley, Walter Scott.",https://viaf.org/viaf/72637622,"Bromley, Walter Scott"
"Brooks, T. B. (Thomas Benton), 1836-1900.",https://viaf.org/viaf/374021,"Brooks, T. B. (Thomas Benton), 1836-1900."
"Brown, Peter Esq.",https://viaf.org/viaf/186079483,"Brown, Peter, Esq."
Brown and Parsons.,https://viaf.org/viaf/131654358,Brown and Parsons
"Brownson, Willard H. (Willard Herbert), 1845-1935.",https://viaf.org/viaf/26315577,"Brownson, Willard H. (Willard Herbert), 1845-1935"
"Bruce, James, 1730-1794.",https://viaf.org/viaf/32094803,"Bruce, James, 1730-1794"
"Brué, Adrien Hubert, 1786-1832.",https://viaf.org/viaf/29832309,"Brué, Adrien-Hubert, 1786-1832"
"Bruff, William T. O.",https://viaf.org/viaf/40816590,"Bruff, William T. O."
"Brunel, Marc Isambard, Sir, 1769-1849.",https://viaf.org/viaf/62310100,"Brunel, Marc Isambard, 1769-1849"
"Buache, Philippe, 1700-1773.",https://viaf.org/viaf/22237440,"Buache, Philippe, 1700-1773."
"Bufalini, Leonardo, 16th cent.",https://viaf.org/viaf/79210251,"Bufalini, Leonardo, m. 1552"
Bufford's Lith.,https://viaf.org/viaf/125946075,J.H. Bufford's Lith.
"Burr, David H., 1803-1875.",https://viaf.org/viaf/28317449,"Burr, David H., 1803-1875"
"Butler, Caleb, 1776-1854.",https://viaf.org/viaf/72181921,"Butler, Caleb, 1776-1854"
C. & J. Greenwood.,https://viaf.org/viaf/147802049,C. & J. Greenwood
C. H. Crocker Co. Lith.,https://viaf.org/viaf/149314485,"C.H. Crocker Co. (Portland, Or.)"
C. N. Caspar Co.,https://viaf.org/viaf/124749563,C.N. Caspar Company
"Cadell, T. (Thomas), 1742-1802.",https://viaf.org/viaf/100920895,"Cadell, Thomas, 1742-1802"
"Caius, John, 1510-1573.",https://viaf.org/viaf/71413882,"Caius, John, 1510-1573"
Calcutta Improvement Trust.,https://viaf.org/viaf/144370044,Calcutta Improvement Trust
"Call, Pieter van.",https://viaf.org/viaf/76738695,"Call, Pieter van 1688-1737"
Cambridge (Mass.). Community Development Dept.,https://viaf.org/viaf/138405308,Cambridge (Mass.). Community Development Department
Cambridge (Mass.). Dept. of Public Works,https://viaf.org/viaf/138651856,Cambridge (Mass.). Department of Public Works
Cambridge (Mass.). Dept. of Traffic and Parking,https://viaf.org/viaf/131442559,Cambridge (Mass.). Department of Traffic and Parking
Cambridge (Mass.). Fire Dept.,https://viaf.org/viaf/129090216,Cambridge (Mass.). Fire Department
Cambridge (Mass.). Geographic Information Systems,https://viaf.org/viaf/146979147,Cambridge (Mass.). Geographic Information Systems
Cambridge (Mass.). Water Dept.,https://viaf.org/viaf/134022536,Cambridge (Mass.). Water Department
Cambridge Historical Commission,https://viaf.org/viaf/136757522,Cambridge Historical Commission
"Cameron, John, Captain.",https://viaf.org/viaf/76104927,"Cameron, John, Captain"
"Camesina, Albert Ritter von San Vittore, 1806-1881.",https://viaf.org/viaf/55198987,"Cámesina, Albert, 1806-1881"
"Camp, Dresser & McKee",https://viaf.org/viaf/158287705,"Camp, Dresser & McKee"
"Camp Dresser and McKee, Inc. (CDM)",https://viaf.org/viaf/158287705,"Camp, Dresser & McKee"
Campion freres.,https://viaf.org/viaf/137592988,Campion frères
"Candrian, H. A. (Herman Anton)",https://viaf.org/viaf/67865428,"Candrian, H. A. (Herman Anton)"
Cape Cod Commission,https://viaf.org/viaf/135166803,Cape Cod Commission
Cape Peninsula Publicity Association.,https://viaf.org/viaf/139905518,Cape Peninsula Publicity Association
"Carey, Mathew, 1760-1839.",https://viaf.org/viaf/2526487,"Carey, Mathew, 1760-1839"
"Carleton, Osgood, 1742-1816.",https://viaf.org/viaf/35699621,"Carleton, Osgood, 1742-1816"
"Carrigain, Philip, 1772-1842.",https://viaf.org/viaf/53335809,"Carrigain, Philip, 1772-1842"
"Carter, James G. (James Gordon), 1795-1849.",https://viaf.org/viaf/34831279,"Carter, James G."
Carter and Wilkinson.,https://viaf.org/viaf/153689609,Carter and Wilkinson
Cartoleria Chiesi.,https://viaf.org/viaf/136421601,Cartoleria Chiesi
"Cary, John, ca. 1754-1835.",https://viaf.org/viaf/54449369,"Cary, John, ca. 1754-1835."
"Castera, Ignacio de, 1750?-1811.",https://viaf.org/viaf/8317288,"Castera, Ignacio de, 1750?-1811"
"Causey, J. Douglas.",https://viaf.org/viaf/18625965,"Causey, J. Douglas"
"Cecchi, Antonio, 1849-1896.",https://viaf.org/viaf/42144077,"Cecchi, Antonio, 1849-1896"
Center for International Earth Science Information Network,https://viaf.org/viaf/127130656,Center for International Earth Science Information Network
"Chabert, Joseph Bernard, marquis de, 1724-1805.",https://viaf.org/viaf/71663492,"Chabert, Joseph Bernard, marquis de, 1724-1805"
"Challamel, Pierre Joseph, b. 1813.",https://viaf.org/viaf/42105419,"Challamel, Pierre-Joseph, 1813-1892"
"Chanlaire, P.-G. (Pierre-Grégoire), 1758-1817.",https://viaf.org/viaf/54448154,"Chanlaire, Pierre Grégoire, 1758-1817"
"Chapman, Silas.",https://viaf.org/viaf/36680743,"Chapman, Silas"
"Charbonnier, Pierre-Francois.",https://viaf.org/viaf/17524195,"Charbonnier, Pierre-François 1703-..."
"Charles Hooper & Co., Ld.",https://viaf.org/viaf/146955109,"Charles Hooper &Co., Ld."
Charles Knight & Co.,https://viaf.org/viaf/123077024,Charles Knight & Co.
Charles Smith & Son.,https://viaf.org/viaf/158197603,Charles Smith & Son
"Charlevoix, Pierre-Francois-Xavier de, 1682-1761.",https://viaf.org/viaf/37008452,"Charlevoix, Pierre-François-Xavier de, 1682-1761"
"Chesbrough, Ellis Sylvester, 1813-1886.",https://viaf.org/viaf/48083526,"Chesbrough, Ellis Sylvester, 1813-1886"
"Cheves, Langdon, 1814-1863.",https://viaf.org/viaf/16337778,"Cheves, Langdon, 1814-1863"
Chilton Company.,https://viaf.org/viaf/134840331,Chilton Company.
"Chirico, Pete.",https://viaf.org/viaf/26706626,"Chirico, Pete"
"Christodoulo, C.",https://viaf.org/viaf/308238831,"Christodoulo, C."
Cincinnati (Ohio). City Planning Commission,https://viaf.org/viaf/145327613,Cincinnati (Ohio). City Planning Commission
Cincinnati (Ohio). City Planning Commission.,https://viaf.org/viaf/145327613,Cincinnati (Ohio). City Planning Commission
"Clark, Austin & Company",https://viaf.org/viaf/148216699,"Clark, Austin & Company"
"Clark, Richard, publisher.",https://viaf.org/viaf/44107256,"Clark, Richard (Publisher)"
"Cleveland Chamber of Commerce (Cleveland, Ohio). Convention Board.",https://viaf.org/viaf/17146094283100332029,"Cleveland Chamber of Commerce (Cleveland, Ohio). Convention Board"
Cleveland Directory Co.,https://viaf.org/viaf/136358233,Cleveland Directory Co.
"Clüver, Philipp, 1580-1622.",https://viaf.org/viaf/29833013,"Clüver, Philipp, 1580-1622."
"Cochin, Charles Nicolas, 1715-1790.",https://viaf.org/viaf/51687541,"Cochin, Charles-Nicolas, 1715-1790"
"Cockerell, C. R. (Charles Robert), 1788-1863.",https://viaf.org/viaf/88781533,"Cockerell, Charles Robert, 1788-1863"
"Colesworthy, Samuel Hodgson, b. 1808.",https://viaf.org/viaf/75285669,"Colesworthy, Samuel Hodgson, 1808-"
"Colton, G. Woolworth (George Woolworth), 1827-1901.",https://viaf.org/viaf/49526554,"Colton, G. Woolworth (George Woolworth), 1827-1901."
"Colton, J. H. (Joseph Hutchins), 1800-1893.",https://viaf.org/viaf/5230755,"Colton, J. H. (Joseph Hutchins), 1800-1893"
"Combe, J. W.",https://viaf.org/viaf/305280794,"Combe, J. W. (James William), 1854-"
Compagnie universelle du Canal maritime de Suez.,https://viaf.org/viaf/130702307,Compagnie universelle du canal maritime de Suez.
"Conder, Thomas, 1746 or 7-1831.",https://viaf.org/viaf/54016002,"Conder, Thomas, 1746 or 1747-1831"
"Cooke, Chas. E. (Charles E.)",https://viaf.org/viaf/73476407,"Cooke, Chas. E. (Charles E.)"
"Coolidge, A. J. (Austin Jacobs)",https://viaf.org/viaf/30145970316832252285,"Coolidge, A. J. (Austin Jacobs)"
"Copeland, Robert Morris, 1830-1874.",https://viaf.org/viaf/76161061,"Copeland, Robert Morris, 1830-1874"
"Cora, Guido, 1851-1917.",https://viaf.org/viaf/61849992,"Cora, Guido, 1851-1917"
"Coronelli, Vincenzo, 1650-1718.",https://viaf.org/viaf/27133664,"Coronelli, Vincenzo, 1650-1718"
"Cotton, Edward, 1779-1819.",https://viaf.org/viaf/68873315,"Cotton, Edward, 1779-1819"
CountryWatch.com INC.,https://viaf.org/viaf/129280356,CountryWatch.com INC.
Covens et Mortier.,https://viaf.org/viaf/128243240,Cóvens et Mortier
Cóvens et Mortier.,https://viaf.org/viaf/128243240,Cóvens et Mortier
"Covens et Mortier et Covens, junior.",https://viaf.org/viaf/50146462667027771886,"Covens et Mortier et Covens, junior"
"Cox, George, publisher",https://viaf.org/viaf/53937518,"Cox, George (Publisher)"
"Cox, George, publisher.",https://viaf.org/viaf/53937518,"Cox, George (Publisher)"
"Cox, George (publisher)",https://viaf.org/viaf/53937518,"Cox, George (Publisher)"
"Cramer, Wolfgang P.",https://viaf.org/viaf/67182279,"Cramer, Wolfgang P."
"Crawford, Frazer S. (Frazer Smith), d. 1890.",https://viaf.org/viaf/93034002,"Crawford, Frazer S. (Frazer Smith), -1890"
Crepy (Firm),https://viaf.org/viaf/169382353,Crépy (Firm)
Crépy (Firm),https://viaf.org/viaf/169382353,Crépy (Firm)
"Croisey, Jean-Baptiste.",https://viaf.org/viaf/79209856,"Croisey, Jean-Baptiste."
"Cruchley, G. F.",https://viaf.org/viaf/311957,"Cruchley, G. F."
"Cruquius, Nicolaas Samuel, 1678-1754.",https://viaf.org/viaf/47643770,"Cruquius, Nicolas Samuelszoon, 1678-1754"
Cummings and Hilliard.,https://viaf.org/viaf/45145857910623021823,Cummings and Hilliard (Firm)
"Curtius, Ernst, 1814-1896.",https://viaf.org/viaf/34470733,"Curtius, Ernst, 1814-1896."
"Cushing, Samuel Tobey, 1839-1901.",https://viaf.org/viaf/2216183,"Cushing, Samuel T. (Samuel Tobey), 1839-1901"
"Cutts, R. D. (Richard Dominicus), 1817-1883.",https://viaf.org/viaf/256020688,"Cutts, R. D. (Richard Dominicus), 1817-1883"
"Cuyler, R. M. (Richard M.)",https://viaf.org/viaf/41613978,"Cuyler, R. M. (Richard M.)"
Daggett & Ely.,https://viaf.org/viaf/151712200,Daggett & Ely
"Danckerts, Justus, 1635-1701.",https://viaf.org/viaf/45229112,"Danckerts, Justus, 1635-1701"
"Danckwerth, Caspar, d. 1672.",https://viaf.org/viaf/20743021,"Danckwerth, Caspar, 1607-1672"
"Daniels, J. H. (John H.), 1828-1901.",https://viaf.org/viaf/103061403,"Daniels, John H., 1828-1901"
"Dapper, Olfert, 1639-1689.",https://viaf.org/viaf/100171295,"Dapper, Olfert, 1639-1689"
"Daumas, E. (Eugène), 1803-1871.",https://viaf.org/viaf/31995120,"Daumas, Eugène 1803-1871"
"Daussy, Pierre, 1792-1860.",https://viaf.org/viaf/50007860,"Daussy, Pierre, 1792-1860"
"Davidson, George, 1825-1911.",https://viaf.org/viaf/92763087,"Davidson, George, 1825-1911"
"Davies, Benjamin Rees.",https://viaf.org/viaf/13767309,"Davies, Benjamin Rees."
Davis & Force.,https://viaf.org/viaf/154874256,Davis & Force
"Day, John, 1522-1584.",https://viaf.org/viaf/74118429,"Day, John, 1522-1584"
Day & Son.,https://viaf.org/viaf/268142598,Day & Son
"Deakin, Jas. S.",https://viaf.org/viaf/58889050,"Deakin, Jas. S."
"Dearborn, Benjamin, 1754-1838",https://viaf.org/viaf/238473595,"Dearborn, Benjamin, 1754-1838"
"Dearborn, N. S. (Nathaniel S.)",https://viaf.org/viaf/70230219,"Dearborn, N. S. (Nathaniel S.)"
"Delahaye, Guillaume Nicolas, 1725-1802.",https://viaf.org/viaf/100194814,"Delahaye, Guillaume-Nicolas, 1727-1802"
"Delarochette, L. (Louis), 1731-1802.",https://viaf.org/viaf/39677840,"Delarochette, Louis Stanislas d'Arcy, 1731-1802"
DeLorme (Firm),https://viaf.org/viaf/159635975,DeLorme (Firm)
DeLorme Publishing Company,https://viaf.org/viaf/158294441,DeLorme Publishing Company
"Denham, Henry Mangles, Sir, 1800-1887.",https://viaf.org/viaf/65734440,"Denham, Henry Mangles, 1800-1887"
"Denis, Louis, 1725-1794.",https://viaf.org/viaf/76407512,"Denis, Louis, 1725-1794"
Dépôt de la guerre (France),https://viaf.org/viaf/141140749,Dépôt de la guerre (France)
"Des Barres, Joseph F. W. (Joseph Frederick Wallet), 1722-1824.",https://viaf.org/viaf/20533764,"Des Barres, Joseph F.W. (Joseph Frederick Wallet), 1722-1824"
"Desbuissons, Louis Édouard, 1827-1908.",https://viaf.org/viaf/12310876,"Desbuissons, Louis Édouard 1827-1908"
"Desmadryl, Narcisse Edmond Joseph, 1801-",https://viaf.org/viaf/163170432,"Desmadryl, Narcisse Edmond Joseph 1801-post 1864"
"Dewing, Francis, fl. 1716-1722.",https://viaf.org/viaf/18464304,"Dewing, Francis, active 1716-1722"
"De Witt, Simeon, 1756-1834.",https://viaf.org/viaf/39681394,"De Witt, Simeon, 1756-1834"
Digital Globe Incorporated,https://viaf.org/viaf/167426274,Digital Globe Incorporated
District of Columbia. Juvenile Court.,https://viaf.org/viaf/145386470,District of Columbia. Juvenile Court
District of Columbia. Office of the Surveyor.,https://viaf.org/viaf/129019581,District of Columbia. Office of the Surveyor
"Disturnell, John, 1801-1877.",https://viaf.org/viaf/3905074,"Disturnell, John, 1801-1877"
DMTI Spatial Inc.,https://viaf.org/viaf/264685682,DMTI Spatial Inc.
"Donn, J. W. (John W.), 1835-1905.",https://viaf.org/viaf/45741693,"Donn, J. W. (John W.), 1835-1905"
"Doolittle, Amos, 1754-1832.",https://viaf.org/viaf/62646617,"Doolittle, Amos, 1754-1832"
