layer_id,Title,Source,URI,Label
TG00ALCDC,"UA Census Congressional Districts, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCOLBLK,"UA Census Collection Blocks, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCTY,"UA Census Counties, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALCTY00,"UA Census Counties, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALGRP,"UA Census Block Groups, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALGRP00,"UA Census Block Groups, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALKGL,"UA Census Key Geographic Locations, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKA,"UA Census Class A Roads, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKB,"UA Census Railroads, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKC,"UA Census Miscellaneous Ground Transportation Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKD,"UA Census Landmark Line Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKE,"UA Census Physical Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKF,"UA Census Non-Visible Boundaries, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLKH,"UA Census Hydrographic Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLPT,"UA Census Landmark Point Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALLPY,"UA Census Landmark Polygon Features, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALMSA00,"UA Census Metropolitan Statistical Areas, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALPLC,"UA Census Places, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALPLC00,"UA Census Places, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALPUMA,"UA Census Public Use Microdata Areas, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALSLDL,"UA Census State Legislative Districts (Lower Chamber), 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALSLDU,"UA Census State Legislative Districts (Upper Chamber), 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALTAZ,"UA Census Traffic Analysis Zones, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALTRT,"UA Census Tracts, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALTRT00,"UA Census Tracts, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALUNI,"UA Census Unified School Districts, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALURB,"UA Census Urbanized Areas, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALURB00,"UA Census Urbanized Areas, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALVOT00,"UA Census Voting Districts, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALWAT,"UA Census Water Bodies, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG00ALZCTA,"UA Census Zip Code Tabulation Areas, 2000 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG10ALVTD,Voting Districts AL 2010,GNIS,http://sws.geonames.org/4829764,Alabama
TG10TXVTD,Voting Districts TX 2010,GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALAIRCUPY,"American Indian Reservations, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALBLKPY,"Census Blocks, 1995 -  Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALCCDCUPY,"Census County Divisions and Minor Civil Divisions, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALCCDPY,"Census County Divisions and Minor Civil Divisions, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALCDCPY,"Congressional Districts, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALCTYPY,"Census Counties, 1990- Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALELMPY,"Census School Districts, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALGRPPY,"Census Block Groups, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALKGLPY,"Key Geographic Locations, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKALN,"Census Class A Roads, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKBLN,"Census Railroads, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKCLN,"Census Miscellaneous Ground Transportation, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKDLN,"Census Landmarks, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKELN,"Census Physical Features, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKFLN,"Census Non-Visible Features, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKHLN,"Census Hydrographic Features, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLKXLN,"Census Unclassified Features, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLPTPT,"Census Landmark Points, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALLPYPY,"Census Landmark Polygon Features, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALMSAPY,"Census Metropolitan Statistical Areas, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALPLCCUPY,"Census Place, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALPLCPY,"Census Place, 1990 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALTAZPY,"Census Traffic Analysis Zones, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALTRTPY,"Census Tracts, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALUNIPY,"Census Unified School Districts, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALURBPY,"Census Urbanized Areas, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALVOTPY,"Census Voting Districts, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
TG95ALWATPY,"Census Water Bodies, 1995 - Alabama",GNIS,http://sws.geonames.org/4829764,Alabama
ESRI04AKBLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Alaska,GNIS,http://sws.geonames.org/5879092,Alaska
ESRI05USBLKPOP_AK,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : Alaska,GNIS,http://sws.geonames.org/5879092,Alaska
ESRI06USBLKPOP_AK,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Alaska,GNIS,http://sws.geonames.org/5879092,Alaska
ESRI07USBLKPOP_AK,Alaska U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,GNIS,http://sws.geonames.org/5879092,Alaska
FEMA_02_FLD_HAZ_AR_AK,"Flood Insurance Risk Zones, Alaska, 2011",GNIS,http://sws.geonames.org/5879092,Alaska
GLB_AK_FLT,Global GIS : Alaska Faults,LCSH,http://sws.geonames.org/5879092,Alaska
GLB_AK_GEO,Global GIS : Alaska Geology,LCSH,http://sws.geonames.org/5879092,Alaska
MACON95_AKDEM_tract,"Alaska Census Tract Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/5879092,Alaska
MACON95_AKDEM_ZIP,"Alaska ZIP Code Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/5879092,Alaska
MACON95_AKMKT_TRACT,"Alaska Census Tract Market Data, 1995, MaconUSA",GNIS,http://sws.geonames.org/5879092,Alaska
MACON95_AKMKT_ZIP,"Alaska ZIP Code Market Data, 1995, MaconUSA",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKAIR,"UA Census American Indian Reservations, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKAIR00,"UA Census American Indian Reservations, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKBLK,"UA Census Blocks, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKBLK00,"UA Census Block Groups, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCCD,"UA Census County Subdivisions, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCCD00,"UA Census County Subdivisions, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCD106,"UA Census Congressional Districts, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCDC,"UA Census Congressional Districts, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCOLBLK,"UA Census Collection Blocks, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCTY,"UA Census Counties, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKCTY00,"UA Census Counties, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKGRP,"UA Census Block Groups, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKGRP00,"UA Census Block Groups, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKKGL,"UA Census Key Geographic Locations, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKA,"UA Census Class A Roads, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKB,"UA Census Railroads, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKC,"UA Census Miscellaneous Ground Transportation Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKD,"UA Census Landmark Line Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKF,"UA Census Non-Visible Boundaries, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKH,"UA Census Hydrographic Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLPT,"UA Census Landmark Point Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLPY,"UA Census Landmark Polygon Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKMSA00,"UA Census Metropolitan Statistical Areas, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKPLC,"UA Census Places, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKPUMA,"UA Census Public Use Microdata Areas, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKTAZ,"UA Census Traffic Analysis Zones, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKTRT,"UA Census Tracts, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKTRT00,"UA Census Tracts, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKUNI,"UA Census Unified School Districts, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKURB,"UA Census Urbanized Areas, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKURB00,"UA Census Urbanized Areas, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKVOT00,"UA Census Voting Districts, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKWAT,"UA Census Water Bodies, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKZCTA,"UA Census Zip Code Tabulation Areas, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG10AKANRC,Alaska Native Regional Corporations (ANRC) AK 2010,GNIS,http://sws.geonames.org/5879092,Alaska
TG10AKVTD,Voting Districts AK 2010,GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKAIRCUPY,"American Indian Reservations, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKARCPY,"Alaska Native Regional Corporations, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKBLKPY,"Census Blocks, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKCCDCUPY,"Census County Divisions and Minor Civil Divisions, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKCCDPY,"Census County Divisions and Minor Civil Divisions, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKCDCPY,"Census Congressional Districts, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKCTYPY,"Census Counties, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKGRPPY,"Census Block Groups, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKKGLPY,"Census Key Geographic Locations, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKALN,"Census Class A Roads, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKBLN,"Census Railroads, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKCLN,"Census Miscellaneous Ground Transportation Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKDLN,"Census Landmarks, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKELN,"Census Physical Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKFLN,"Census Non-Visible Physical Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKHLN,"Census Hydrographic Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLKXLN,"Census Unclassified Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLPTPT,"Census Landmark Point Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKLPY1PY,"Census Landmark Polygon Features, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKMSAPY,"Census Metropolitan Statistical Areas, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKPLCCUPY,"Census Place, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKPLCPY,"Census Place, 1990 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKTAZPY,"Census Traffic Analysis Zones, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKTRTPY,"Census Tracts, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKUNIPY,"Census Unified School Districts, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKURBPY,"Census  Urbanized Areas, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKVOTPY,"Census Voting Districts, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG95AKWATPY,"Census Water Bodies, 1995 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKLKE,"UA Census Physical Features, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKPLC00,"UA Census Places, 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKSLDL,"UA Census State Legislative Districts (Lower Chamber), 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
TG00AKSLDU,"UA Census State Legislative Districts (Upper Chamber), 2000 - Alaska",GNIS,http://sws.geonames.org/5879092,Alaska
AM_AMS_NH2911L,"Akka region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 29-11 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NH2912L,"Tissint region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 29-12 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NH3002L,"Boudenib region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 30-2 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NH3005L,"Zagora region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 30-5 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NH3006L,"Taouz region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 30-6 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NH3009L,"Mhamid region, Morocco and Algeria, 1953, Army Map Service (AMS) NH 30-9 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NI3015L,"Bou Arfa region, Morocco, and Algeria, 1953, Army Map Service (AMS) NI 30-15 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_AMS_NI3206L,"Gafsa region, Tunisia, and Algeria, 1959, Army Map Service (AMS) NI 32-6 (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_TPC_H02BL,"Algeria, 1995, Tactical Pilotage Chart (TPC) H-2B (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
AM_TPC_H02CL,"Algeria, 1985, Tactical Pilotage Chart (TPC) H-2C (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH1_COPYA,"Algeria, 1889-1895 (Image 1 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH2_COPYA,"Algeria, 1889-1895 (Image 2 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH3,"Algeria, 1889-1895 (Image 3 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH4,"Algeria, 1889-1895 (Image 4 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH5,"Algeria, 1889-1895 (Image 5 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
G8240_S800_F7_SH6,"Algeria, 1889-1895 (Image 6 of 6) (Raster Image)",GNS,http://sws.geonames.org/2589581,Algeria
FEMA_60_FLD_HAZ_AR_AS,"Flood Insurance Risk Zones, American Samoa, 2011",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASBLK,"UA Census Blocks, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASBLK00,"UA Census Blocks, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCCD,"UA Census County Subdivisions, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCCD00,"UA Census County Subdivisions, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCD106,"UA Census Congressional Districts, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCDC,"UA Census Congressional Districts, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCOLBLK,"UA Census Collection Blocks, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCTY,"UA Census Counties, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASCTY00,"UA Census Counties, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASGRP,"UA Census Block Groups, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASGRP00,"UA Census Blocks, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKA,"UA Census Class A Roads, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKB,"UA Census Railroads, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKD,"UA Census Landmark Line Features, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKE,"UA Census Physical Features, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKF,"UA Census Non-Visible Boundaries, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLKH,"UA Census Hydrographic Features, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLPT,"UA Census Landmark Point Features, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASLPY,"UA Census Landmark Polygon Features, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASPLC,"UA Census Places, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASPLC00,"UA Census Places, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASPUMA,"UA Census Public Use Microdata Areas, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASTRT,"UA Census Tracts, 1990 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASTRT00,"UA Census Tracts, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASUNI,"UA Census Unified School Districts, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASURB00,"UA Census Urbanized Areas, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
TG00ASWAT,"UA Census Water Bodies, 2000 - American Samoa",GNIS,http://sws.geonames.org/5880801,American Samoa
AM_TPC_N03CL,"Angola, 1986, Tactical Pilotage Chart (TPC) N-3C (Raster Image)",GNS,http://sws.geonames.org/3351879,Angola
AMS7810_S250_U54_NH50_7,AMS China : Huai-ning Region (Raster Image),None,http://sws.geonames.org/1818058,Anhui
AMS7810_S250_U54_NI49_13,AMS China : An-k'ang Region (Raster Image),"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)",http://sws.geonames.org/1789065,Ankang
ESRI04AZBLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Arizona,GNIS,http://sws.geonames.org/5551752,Arizona
ESRI05USBLKPOP_AZ,ESRI Data & Maps 2005 : U.S. Census Block Centroid Populations : Arizona,GNIS,http://sws.geonames.org/5551752,Arizona
ESRI05USDTL_RIVERS_AZ,ESRI Data & Maps 2005 : U.S. Rivers and Streams : Arizona,GNIS,http://sws.geonames.org/5551752,Arizona
ESRI06USBLKPOP_AZ,ESRI Data & Maps 2006 : U.S. Census Block Centroid Populations : Arizona,GNIS,http://sws.geonames.org/5551752,Arizona
ESRI07USBLKPOP_AZ,Arizona U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,GNIS,http://sws.geonames.org/5551752,Arizona
FEMA_04_FLD_HAZ_AR_AZ,"Flood Insurance Risk Zones, Arizona, 2011",GNIS,http://sws.geonames.org/5551752,Arizona
MACON95_AZDEM_TRACT,"Arizona Census Tract Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/5551752,Arizona
MACON95_AZDEM_ZIP,"Arizona ZIP Code Demographics, 1995, MaconUSA",GNIS,http://sws.geonames.org/5551752,Arizona
MACON95_AZMKT_TRACT,"Arizona Census Tract Market Data, 1995, MaconUSA",GNIS,http://sws.geonames.org/5551752,Arizona
